Rome,Leather Money Clip,Rome,Leather Money Clip,COLOR: Black Leather,ITEM #: 30163001,UPC #: 674204035412,"Providing simple organization for everyday use, this leather money clip holds currency along with a few cards and receipts100% genuine Napa leather provides a sophisticated look and feelConvenient front-pocket sizeLeather money clip securely stores bills and receiptsThree credit card slots make it easy to locate important cards",110663.jpg
Antwerp,Leather Card Case,Antwerp,Leather Card Case,COLOR: Black Leather,ITEM #: 30163101,UPC #: 674204035429,The slim design of this card case allows it to easily fit in your front pocket100% genuine Napa leather provides a sophisticated look and feelConvenient front-pocket sizeSix credit card slots make it easy to locate important cardsTwo storage pockets for receipts and miscellaneous items,111092.jpg
Oslo,Leather Passport Cover,Oslo,Leather Passport Cover,COLOR: Black Leather,ITEM #: 30163301,UPC #: 674204035443,Stay organized during international travel and keep your identification protected in this leather passport cover100% genuine Napa leather provides a sophisticated look and feelInterior pocket stores passportTwo slash pockets for business cards or receiptsFour credit card slots make it easy to locate important cards,110851.jpg
Athens ,Leather Tri-Fold Wallet,Athens ,Leather Tri-Fold Wallet,COLOR: Black Leather,ITEM #: 30163501,UPC #: 674204035467,"With additional organization for currency, ID, receipts and multiple cards, the Athens is the ideal companion for someone who likes having everything in its place100% genuine Napa leather provides a sophisticated look and feelLeather trimmed bill divider separates currencySix credit card slots make it easy to locate important cardsFour storage pockets for receipts and miscellaneous itemsWindow with micro-mesh screen for quickly showing ID",111118.jpg
Rome,Leather Money Clip,Rome,Leather Money Clip,COLOR: Black Leather,ITEM #: 30163001,UPC #: 674204035412,"Providing simple organization for everyday use, this leather money clip holds currency along with a few cards and receipts100% genuine Napa leather provides a sophisticated look and feelConvenient front-pocket sizeLeather money clip securely stores bills and receiptsThree credit card slots make it easy to locate important cards",110663.jpg
Antwerp,Leather Card Case,Antwerp,Leather Card Case,COLOR: Black Leather,ITEM #: 30163101,UPC #: 674204035429,The slim design of this card case allows it to easily fit in your front pocket100% genuine Napa leather provides a sophisticated look and feelConvenient front-pocket sizeSix credit card slots make it easy to locate important cardsTwo storage pockets for receipts and miscellaneous items,111092.jpg
Rome,Leather Money Clip,Rome,Leather Money Clip,COLOR: Black Leather,ITEM #: 30163001,UPC #: 674204035412,"Providing simple organization for everyday use, this leather money clip holds currency along with a few cards and receipts100% genuine Napa leather provides a sophisticated look and feelConvenient front-pocket sizeLeather money clip securely stores bills and receiptsThree credit card slots make it easy to locate important cards",110663.jpg
Antwerp,Leather Card Case,Antwerp,Leather Card Case,COLOR: Black Leather,ITEM #: 30163101,UPC #: 674204035429,The slim design of this card case allows it to easily fit in your front pocket100% genuine Napa leather provides a sophisticated look and feelConvenient front-pocket sizeSix credit card slots make it easy to locate important cardsTwo storage pockets for receipts and miscellaneous items,111092.jpg
Oslo,Leather Passport Cover,Oslo,Leather Passport Cover,COLOR: Black Leather,ITEM #: 30163301,UPC #: 674204035443,Stay organized during international travel and keep your identification protected in this leather passport cover100% genuine Napa leather provides a sophisticated look and feelInterior pocket stores passportTwo slash pockets for business cards or receiptsFour credit card slots make it easy to locate important cards,110851.jpg
Athens ,Leather Tri-Fold Wallet,Athens ,Leather Tri-Fold Wallet,COLOR: Black Leather,ITEM #: 30163501,UPC #: 674204035467,"With additional organization for currency, ID, receipts and multiple cards, the Athens is the ideal companion for someone who likes having everything in its place100% genuine Napa leather provides a sophisticated look and feelLeather trimmed bill divider separates currencySix credit card slots make it easy to locate important cardsFour storage pockets for receipts and miscellaneous itemsWindow with micro-mesh screen for quickly showing ID",111118.jpg
Rome,Leather Money Clip,Rome,Leather Money Clip,COLOR: Black Leather,ITEM #: 30163001,UPC #: 674204035412,"Providing simple organization for everyday use, this leather money clip holds currency along with a few cards and receipts100% genuine Napa leather provides a sophisticated look and feelConvenient front-pocket sizeLeather money clip securely stores bills and receiptsThree credit card slots make it easy to locate important cards",110663.jpg
Antwerp,Leather Card Case,Antwerp,Leather Card Case,COLOR: Black Leather,ITEM #: 30163101,UPC #: 674204035429,The slim design of this card case allows it to easily fit in your front pocket100% genuine Napa leather provides a sophisticated look and feelConvenient front-pocket sizeSix credit card slots make it easy to locate important cardsTwo storage pockets for receipts and miscellaneous items,111092.jpg
